m,n,p,lambda,R
1,1,0.9,0.0009765625,0.0009765625
1,1,0.9,0.0010328225217002454,0.0010328225217002454
1,1,0.9,0.0010923236980032028,0.0010923236980032028
1,1,0.9,0.0011552527526754357,0.0011552527526754357
1,1,0.9,0.001221807166688659,0.001221807166688659
1,1,0.9,0.0012921957979451526,0.0012921957979451526
1,1,0.9,0.0013666395367057118,0.0013666395367057118
1,1,0.9,0.0014453719987769838,0.0014453719987769838
1,1,0.9,0.001528640258633491,0.0015286402586334909
1,1,0.9,0.0016167056247750203,0.0016167056247750203
1,1,0.9,0.001709844459752558,0.001709844459752558
1,1,0.9,0.0018083490474361146,0.0018083490474361146
1,1,0.9,0.0019125285102460953,0.0019125285102460953
4851,6,0.9,0.0019125285102460953,0.0005009949943679996
4901,6,0.9,0.0019125285102460953,0.0005061588265094962
4951,6,0.9,0.0019125285102460953,0.0005113226586509927
1,1,0.9,0.0020227097792266096,0.0020227097792266096
4601,6,0.9,0.0020227097792266096,0.0005025508380388056
4651,6,0.9,0.0020227097792266096,0.0005080121599040393
4701,6,0.9,0.0020227097792266096,0.0005134734817692731
4751,6,0.9,0.0020227097792266096,0.0005189348036345067
4801,6,0.9,0.0020227097792266096,0.0005243961254997404
4851,6,0.9,0.0020227097792266096,0.0005298574473649741
4901,6,0.9,0.0020227097792266096,0.0005353187692302079
4951,6,0.9,0.0020227097792266096,0.0005407800910954416
1,1,0.9,0.0021392386200049392,0.0021392386200049392
4351,6,0.9,0.0021392386200049392,0.0005026231733478132
4401,6,0.9,0.0021392386200049392,0.0005083991233977767
4451,6,0.9,0.0021392386200049392,0.0005141750734477401
4501,6,0.9,0.0021392386200049392,0.0005199510234977035
4551,6,0.9,0.0021392386200049392,0.0005257269735476669
4601,6,0.9,0.0021392386200049392,0.0005315029235976302
4651,6,0.9,0.0021392386200049392,0.0005372788736475936
4701,6,0.9,0.0021392386200049392,0.0005430548236975571
4751,6,0.9,0.0021392386200049392,0.0005488307737475204
4801,6,0.9,0.0021392386200049392,0.0005546067237974838
4851,6,0.9,0.0021392386200049392,0.0005603826738474471
4901,6,0.9,0.0021392386200049392,0.0005661586238974105
4951,6,0.9,0.0021392386200049392,0.0005719345739473739
1,1,0.9,0.0022624807178568238,0.0022624807178568238
